player_id,nombre,liga,eventos_total,tiros,tiros_a_puerta,goles,penales_tirados,penales_metidos,tiros_fuera_area,tiros_fuera_a_puerta,goles_fuera_area,tiros_area_grande,goles_area_grande,tiros_area_pequena,goles_area_pequena,tiros_cabeza,goles_cabeza,tiros_pie_izq,goles_pie_izq,tiros_pie_der,goles_pie_der,tiros_falta_directa,goles_falta_directa,tiros_tras_cruce,goles_tras_cruce,tiros_bloqueados,regates_intentados,regates_exitosos,regates_ultimo_tercio,regates_ultimo_tercio_ok,pases_clave,pases_clave_desde_cruce,pases_asistencia,recuperaciones_total,recuperaciones_ultimo_tercio,recuperaciones_zona_baja,entradas_total,entradas_exitosas,entradas_ultimo_tercio,intercepciones_total,intercepciones_zona_baja,aereos_total,aereos_ganados,distancia_promedio_tiro,acierto_tiros_fuera_pct,puerta_tiros_fuera_pct,pct_goles_desde_fuera,pct_tiros_desde_fuera,pct_tiros_pie_izq,pct_tiros_pie_der,pct_tiros_cabeza,pct_regates_exito,pct_aereos_ganados,pct_entradas_exitosas,xg,g_menos_xg
2h53oe0l0skqnd8644zegq8d1,R. Carrillo,Brasil B,657,21,13,4,1,0,5,3,0,11,0,5,4,4,0,4,0,9,4,4,1,15,4,9,21,11,12,5,12,0,0,19,5,8,8,4,1,1,0,77,29,20.3,0.0,60.0,0.0,23.8,19.0,42.9,19.0,52.4,37.7,50.0,3.63,0.37
f21vbsxpc7z1cub4w946uc72t,G. Fernández,Argentina,657,10,4,0,0,0,3,0,0,7,0,0,0,4,0,1,0,4,0,0,0,7,0,4,19,5,11,3,11,0,0,28,9,16,8,4,2,3,1,85,36,30.9,0.0,0.0,0.0,30.0,10.0,40.0,40.0,26.3,42.4,50.0,1.02,-1.02
cz5hnp13ejk5gcc9ajgk2mkt1,W. Montoya,Argentina,657,9,5,0,0,0,8,4,0,1,0,0,0,0,0,0,0,9,0,1,0,1,0,6,24,8,5,1,3,0,0,49,3,38,8,4,0,10,9,8,3,31.9,0.0,50.0,0.0,88.9,0.0,100.0,0.0,33.3,37.5,50.0,0.45,-0.45
ca5ldsa3p3iacyyu5uhjkoo9,W. Corozo,Ecuador,656,21,12,3,4,0,4,3,0,13,3,4,0,2,0,7,2,6,0,2,1,11,2,9,34,9,21,6,14,0,0,30,3,22,17,12,3,4,3,40,13,33.7,0.0,75.0,0.0,19.0,33.3,28.6,9.5,26.5,32.5,70.6,5.97,-2.97
4d4y6s3bs6l08dhgwe9d0y904,L. Rivero,Argentina,656,5,4,0,0,0,1,1,0,4,0,0,0,3,0,0,0,0,0,1,0,3,0,4,2,0,0,0,1,0,0,28,0,23,15,11,0,7,6,37,20,33.8,0.0,100.0,0.0,20.0,0.0,0.0,60.0,0.0,54.1,73.3,0.55,-0.55
3vuvz6wi69osnhkd9e14fqzo4,M. Duarte,Argentina,655,19,13,1,0,0,15,11,1,4,0,0,0,0,0,2,0,14,1,2,0,6,1,12,45,14,19,6,12,0,0,39,4,29,17,14,0,5,2,19,4,25.7,6.7,73.3,100.0,78.9,10.5,73.7,0.0,31.1,21.1,82.4,1.11,-0.11
azzlg3wwltk1o9fhnjs374b85,M. Rodríguez,MLS,655,8,6,0,1,0,6,5,0,2,0,0,0,0,0,0,0,8,0,0,0,4,0,7,2,1,1,0,14,0,0,30,3,19,19,13,2,3,1,9,2,27.3,0.0,83.3,0.0,75.0,0.0,100.0,0.0,50.0,22.2,68.4,1.29,-1.29
9zemavr8h4ho4ivl7a270dai2,B. Borasi,Brasil B,654,20,14,1,2,0,6,4,0,12,1,2,0,2,0,8,1,8,0,5,1,7,0,13,18,9,10,5,7,0,0,52,6,39,20,15,5,8,6,22,9,27.2,0.0,66.7,0.0,30.0,40.0,40.0,10.0,50.0,40.9,75.0,3.85,-2.85
655pmx3wi94ktbt6niw6110bt,André Luís,Brasil B,653,13,5,1,1,0,3,1,0,8,1,2,0,4,0,3,1,0,0,2,1,8,0,5,23,7,15,4,21,0,0,40,6,23,9,4,1,1,1,51,18,26.5,0.0,33.3,0.0,23.1,23.1,0.0,30.8,30.4,35.3,44.4,2.43,-1.43
9tl5px7jvraafn75mahtweh62,R. Ortiz,Ecuador,651,25,21,1,0,0,8,7,0,13,1,4,0,5,0,7,1,4,0,4,1,15,1,21,11,7,5,2,4,0,0,17,2,13,6,4,0,0,0,108,42,17.5,0.0,87.5,0.0,32.0,28.0,16.0,20.0,63.6,38.9,66.7,2.97,-1.97
