player_id,nombre,minutos,tirador_lejano_pts,tirador_lejano_medalla,cabeceador_pts,cabeceador_medalla,recuperador_puro_pts,recuperador_puro_medalla,presionador_alto_pts,presionador_alto_medalla,definidor_pts,definidor_medalla,creador_pts,creador_medalla,desequilibrante_pts,desequilibrante_medalla,muro_pts,muro_medalla,motor_pts,motor_medalla,goles,pases_clave,regates_exitosos,aereos_ganados,tiros_fuera,goles_fuera,acierto_fuera_pct,goles_cabeza,aereos_pct,aereos_total,recuperaciones_total,recuperaciones_baja,recuperaciones_alto
ctz1qqwlbghpekz65missk86i,J. Cuesta,2205,0,,13,,37,BRONCE,20,,0,,53,PLATA,0,,13,,33,BRONCE,1,37,11,31,8,0,0.0,1,54.4,57,138,121,3
17jtkzmxdri5tbv7byijeeggl,D. Moreno,1944,43,BRONCE,60,PLATA,67,PLATA,33,BRONCE,87,ORO,0,,33,BRONCE,50,PLATA,87,ORO,10,12,12,67,12,3,25.0,3,54.5,123,197,129,13
84r1msh0g1qj25wss1n4fv74l,S. Barreiro,1509,0,,40,BRONCE,70,PLATA,30,BRONCE,0,,0,,0,,60,PLATA,100,ORO,1,6,3,80,4,0,0.0,0,64.5,124,168,151,0
bkgs0bu84fid8674okqo4r7x1,J. Glad,2869,0,,33,BRONCE,10,,0,,0,,0,,0,,40,BRONCE,10,,1,10,2,71,2,0,0.0,1,52.6,135,109,96,3
5ln11dxutjiiy98wvvvrtzrvt,A. Soto,1494,10,,0,,70,PLATA,30,BRONCE,0,,87,ORO,47,BRONCE,13,,100,ORO,0,46,31,33,7,0,0.0,0,47.8,69,193,163,3
btfy1un7vibi2pb5y6uxp9ck5,M. Moralez,3129,27,,0,,0,,37,BRONCE,10,,87,ORO,0,,0,,13,,3,69,8,15,16,0,0.0,0,37.5,40,201,116,26
87txwt1ju184taf84a7ld4e09,J. Freytes,2925,13,,20,,0,,0,,0,,0,,0,,27,,0,,0,6,11,59,10,0,0.0,0,53.6,110,145,125,0
5dc6z32bv0c5nfwnql5z95ilm,A. Sánchez,2243,13,,10,,47,BRONCE,43,BRONCE,0,,40,BRONCE,33,BRONCE,50,PLATA,67,PLATA,0,25,18,70,14,0,0.0,0,63.1,111,226,170,15
ebgim0qbnmw9nbz1ob3sykk45,Eduardo Brock,3317,0,,53,PLATA,10,,0,,0,,0,,0,,70,PLATA,10,,1,10,7,74,8,0,0.0,1,71.8,103,126,117,2
1ywn594g4nv3vvqyyy16qjutx,F. Gorriarán,1619,40,BRONCE,0,,47,BRONCE,80,ORO,20,,67,PLATA,67,PLATA,0,,80,ORO,5,38,28,13,42,3,7.1,0,54.2,24,202,127,20
